Unnamed: 0,data,gtin,ncm,des_item_norm,unidade,valor_unit_liq,qtd_geral_item,qtd_reg_consolid,volume_financeiro
36404,2024-12-03,7893000482401,2071100,FILE PEIT BDJ 1KG SD,UN,24.99,1.0,1,24.99
36447,2024-12-14,7898297061346,2071413,CORTE DE FRANGO ASA KG,Kg,17.98,2201.0,2,39573.98
36468,2024-12-21,7894904015108,2071422,FILE PEITO MET CG BDJ SE 1KG,UN,24.71,3.0,2,74.13
36480,2024-12-23,7898302290303,2013000,CONTRA FILE KG,KG,46.98,514.0,1,24147.719999999998
36489,2024-12-26,7893000526044,2101200,BACON MANTA SADIA KG,KG,33.99,7002.0,3,237997.98
36502,2024-05-04,7895099590777,2101200,ESPINHACO SALGADO,KG,7.99,5332.0,6,42602.68
36551,2024-05-21,7898302290525,2013000,CARNE APARADO FRESCA T,KG,39.98,1212.0,2,48455.759999999995
36599,2024-06-04,7894904015108,2071400,FILE PEITO FRANGO BDJ 1KG SEARA,KG,25.49,1.0,1,25.49
36625,2024-06-15,7896581354150,2071400,COXA IQF PCT 1KG,UN,13.99,6.0,3,83.94
36641,2024-06-19,7894904013180,2071400,CORTES FGO SCOXA SEARA BAND,UN,14.5,1.0,1,14.5
36643,2024-06-19,7894904197712,2071400,SOBRECOXA SEARA IQF 1KG,UN,12.63,37.0,21,467.31
36657,2024-06-26,7898251410241,2071400,PEITO C OSSO,QUILO,17.5,1832.0,2,32060.0
36660,2024-06-26,7893000482401,2071400,FILE PEITO FGO SADIA BDJ 1KG,UN,21.9,6.0,6,131.39999999999998
36698,2024-07-05,7898297060110,2071400,COXA E SOBRECOXA ENVELOPADA CONGELADA,KG,11.99,1.0,1,11.99
36769,2024-07-29,7898302290037,2013000,CARNE BOV PATINHO KG,KG,29.93,1096.0,1,32803.28
36793,2024-08-07,7898297060202,2071419,COXINHA DA ASA DE FRANGO GUJAO 1KG,UN0001,14.99,5.0,5,74.95
36808,2024-08-11,7894351165739,2102000,CHARQUE PA KG,KG,34.96,532.0,2,18598.72
36867,2024-08-29,7893000005945,2071419,FILE DE PEITO SADIA NA MEDIDA PCT 1KG,UN,27.79,2.0,1,55.58
36892,2024-09-07,7891527962253,2071413,COXINHA ASA FGO COP,PCT9,13.9,35.0,26,486.5
36921,2024-09-12,7891515767600,2101200,BACON SADIA,UN,32.89,242.0,1,7959.38
36929,2024-09-14,7894904015108,2071411,FILE DE PEITO SEARA BD 1KG,BD,26.99,24.0,21,647.76
36957,2024-09-23,7899567227882,2062200,FIGADO BOVINO CONGELADO FRIBOI KG 373271,KG,10.99,8935.0,5,98195.65000000001
36960,2024-09-24,7894904797905,2071210,FRANGO INTEIRO CG PCT SEARA,UND1,10.12,1.3,1,13.155999999999999
36977,2024-09-28,7893000005945,2071100,FILE DE PEITO DE FRANGO ZIP IQF 1 KG,UN,28.25,1.0,1,28.25
37002,2024-10-07,7894904015108,2071419,FILE DE PEITO SEARA BANDEJA 1KG,UN,24.99,3.0,3,74.97
37064,2024-10-26,7898136970341,2071422,FILE DE PEITO CONGELADO BDJ 1KG,KG,7.85,3.0,3,23.549999999999997
37070,2024-10-28,7898297062107,2071419,CATADO DE FRANGO,KG,3.85,1.0,1,3.85
37096,2024-11-02,7894904769889,2071419,FGO PASS SEARA T 1KG,Un,14.2,3.0,3,42.599999999999994
37098,2024-11-02,7894904015849,2071422,FILEZ PEITO FGO SEARA 1KG,UN,19.58,22.0,17,430.76
37109,2024-11-04,7894904015108,2071412,FILE PEITO SEARA BDJ 1,UN,13.19,1.0,1,13.19
37115,2024-11-06,7898302295933,2061000,MIUDO BOV MOCOTO KG,KG,8.98,1.35,1,12.123000000000001
37151,2024-11-16,7894904015849,2071422,FILEZINHO DE PEITO SEARA SASSAMI 1KG,UN,22.99,1.0,1,22.99
37171,2024-11-24,7894904097302,2101200,BACON SUINO DEF ESP SEARA 1KG,UN,37.0,0.1519,1,5.6203
37220,2024-12-06,7894904197712,2071419,SOBRECOXA SEARA SACHE 1KG,UN0001,15.98,15.0,12,239.70000000000002
37222,2024-12-07,7898297060011,2071210,FRANGO CONGELADO 1KG,KG,9.36,2482.0,1,23231.519999999997
37248,2024-12-14,7898302290303,2071300,CONTRA FILE,KG,38.9,2774.0,2,107908.59999999999
37265,2024-12-20,7894904015108,2071422,FILE PEITO SEARA 1KG,PC,21.9,200.0,97,4380.0
37267,2024-12-20,7896581354150,2071423,COXA PIF PAF IQF 1KG,UN,12.6,4.0,3,50.4
37279,2024-12-22,7898040082451,2071300,FILE DE PEITO SUPER FRANGO BDJ 1KG,UN0001,24.8,1.0,1,24.8
37311,2024-05-07,7893000005945,2071400,FILE DE PEITO DE FRANGO SADIA IQF PCT 1K,UN,26.99,1.0,1,26.99
37327,2024-05-11,7894904015108,2071400,FILE PEITO SEARA BDJ 1KG,UN,25.99,1.0,1,25.99
37337,2024-05-13,7894904197712,2071400,SBCOXA FGO CONG SEARA IQF 1KG 1X1KG,UN,13.69,69.0,48,944.61
37338,2024-05-14,7894904015108,2071400,CONG FILE PEITO DE FRANGO BAND KG,UN,22.99,1.0,1,22.99
37385,2024-06-01,7894904015108,2071400,FILE PEITO SEARA BDJ 1KG,UN,20.99,4.0,4,83.96
37403,2024-06-08,7894904015849,2071400,FILEZINHO DE PEITO CG BDJ SEARA,UND,24.99,1.0,1,24.99
37449,2024-06-23,7898223661046,2071400,COXA COM SOBRECOXA TEMPERADA 1 KG,KG,13.99,1.0,1,13.99
37455,2024-06-25,7891515516314,2032900,BIST SUINA SADIA KG,KG,22.65,858.0,1,19433.699999999997
37464,2024-06-27,7891164018214,2071400,FILE PEITO AURORA BD 1KG PROM,UN,21.48,33.0,31,708.84
37494,2024-07-05,7893000005945,2071400,FILE DE PEITO SADIA,Un,27.58,2.0,2,55.16
37526,2024-07-12,7893000526044,2101200,BACON INTEIRO SADIA CX 10KG,KG,31.74,1.0,1,31.74
37547,2024-07-19,7894904015108,2071400,FILE PEITO FGO SEARA B,UN,22.9,23.0,23,526.6999999999999
37573,2024-07-27,7893000482401,2071400,FILE PEITO FGO SADIA 1KG BDJ,UN,25.99,1.0,1,25.99
37583,2024-07-30,7893000005945,2071400,F PEITO SAD IQF 1KG,Un,21.49,36.0,20,773.64
37584,2024-07-31,7898937117037,2071210,FRANGO AVIVIP CONG,KG,10.26,3.0,3,30.78
37590,2024-07-31,7891515767600,2101200,BACON BRF KG,KG,31.6,156.0,1,4929.6
37601,2024-08-03,7894904015108,2071422,FILE PEITO SEARA BD 1KG,UN,22.82,46.0,19,1049.72
37614,2024-08-06,7891164018221,2071422,FILEZ PEI FGO AURORA BD1KG PROM,UN,20.89,4.0,4,83.56
37643,2024-08-16,7898040082451,2071439,FILE FG SUP FG 1KG UN,UN,17.99,16.0,4,287.84
37658,2024-08-22,7891164018214,2071422,FILE PEITO AURORA BD 1KG PROM,UN,20.9,64.0,28,1337.6
37673,2024-08-27,7894904197712,2071423,SOBRECOXA SEARA KG,KG,14.99,7.0,6,104.93
37702,2024-09-05,7895099590777,2032900,ESPINHACO SALGADO KG,KG,13.9,346.0,2,4809.400000000001
37707,2024-09-07,7896015223014,2062200,ARROZ PARB BLUEBONET 1KG,UN,7.2,1.0,1,7.2
37720,2024-09-12,7894904015108,2071422,FILE PEITO SEARA BD 1KG PROM,UN,19.35,187.0,82,3618.4500000000003
37721,2024-09-12,7894904097302,2101200,BACON PALETA SEARA,UN,29.65,1.0,1,29.65
37753,2024-09-24,7898932426042,2102000,FLOCAO MARATA 500G,UN,1.99,2.0,2,3.98
37832,2024-10-17,7894904015108,2072700,FILE DE PEITO SEARA 1KG,UN,22.0,20.0,1,440.0
37836,2024-10-17,7893000482401,2071422,FILE PEITO SADIA,BDJ9,22.9,43.0,11,984.6999999999999
37840,2024-10-17,7894904197712,2071300,SOBRECOX FGO SEARA 1KG,UN,12.98,2.0,2,25.96
37908,2024-11-05,7898297060127,2071300,PEITO FRANGO GUJAO KG 1,KG,14.49,0.81,1,11.7369
37915,2024-11-08,7894904013180,2071419,SOBRECOXA BANDEJA,UN,15.0,1.0,1,15.0
37958,2024-11-22,7891527962253,2071413,COXINHA ASA FGO COP,PCT9,15.9,3.0,1,47.7
37977,2024-11-27,7893000482401,2071419,FILE DE PEITO SADIA BDJ 1KG,UN,26.49,11.0,10,291.39
37978,2024-11-27,7893000437104,2071411,MOELA SADIA BAND KG,UN,18.9,2.0,2,37.8
37992,2024-12-01,7894904015108,2071422,FILE DE PEITO SEARA 1KG,UN,25.9,3.0,3,77.69999999999999
38004,2024-12-04,7898297060202,2071413,COXINHA DA ASA DE FRANGO GUJAO BDJ 1KG,UN0001,17.99,2.0,2,35.98
38067,2024-12-23,7898136970341,2071422,FILE PEITO MAURICEIA,UND9,21.5,12.0,10,258.0
38074,2024-12-23,7894904015849,2071300,FILEZINHO DE PEITO FRANGO SEARA BDJ 1KG,UNID,23.99,3.0,2,71.97
38076,2024-12-24,7898297060110,2071412,COXA C SOBRECOXA,KG,11.26,1.86,1,20.9436
38120,2024-05-12,7894904004171,2032900,FILEZINHO SUINO KG,kg,21.9,3306.0,3,72401.4
38125,2024-05-14,7894904013180,2071400,COXA SOBRECOXA,KG,15.9,2.0,1,31.8
38152,2024-05-24,7898927146450,2101200,TOUCINHO SALG KG KG,KG,23.79,132.0,1,3140.2799999999997
38261,2024-06-21,7893000482401,2071400,FILE DE PEITO SADIA 1KG BANDEJA,UN,25.44,1.0,1,25.44
38336,2024-07-11,7898040082451,2071400,FILE DE PEITO SUPER FRANGO 1KG,UN,24.5,1.0,1,24.5
38362,2024-07-20,7894904015108,2071400,FILE PEITO SEARA CORTES CONGELADOS 1KG,UND,25.25,1.0,1,25.25
38388,2024-07-29,7893000526044,2101200,BACON KG,KG,35.0,304.0,1,10640.0
38397,2024-08-01,7894904015849,2071400,FILEZINHO PEITO CG BDJ SE,CX,25.68,1.0,1,25.68
38429,2024-08-08,7898304251142,2071412,COXA SOBREC FGO KG KG,KG,7.78,0.87,1,6.7686
38472,2024-08-20,7893000482401,2071300,FILE PEITO FGO SADIA BDJ 1KG,UN,21.99,16.0,16,351.84
38478,2024-08-22,7898040082451,2071300,FILE DE PEITO SUPER FRANGO BDJ 1KG,UN0001,23.5,7.0,7,164.5
38482,2024-08-23,7898136970341,2071423,FILE DE PEITO MAURICEIA BJ,UN,14.99,1.0,1,14.99
